classes,train_accuracy,train_sensitivity,train_specificity,train_precision,test_accuracy,test_sensitivity,test_specificity,test_precision
1,1,1,1,1,1,1,1,1
2,0.961904761904762,0.914285714285714,0.985714285714286,0.96969696969697,0.911111111111111,0.8,0.966666666666667,0.923076923076923
3,0.961904761904762,0.971428571428571,0.957142857142857,0.918918918918919,0.911111111111111,0.933333333333333,0.9,0.823529411764706
