classes,train_accuracy,train_sensitivity,train_specificity,train_precision,test_accuracy,test_sensitivity,test_specificity,test_precision
1,1,1,1,1,1,1,1,1
2,0.980952380952381,0.971428571428571,0.985714285714286,0.971428571428571,0.911111111111111,0.8,0.966666666666667,0.923076923076923
3,0.980952380952381,0.971428571428571,0.985714285714286,0.971428571428571,0.911111111111111,0.933333333333333,0.9,0.823529411764706
