classes,train_accuracy,train_sensitivity,train_specificity,train_precision,test_accuracy,test_sensitivity,test_specificity,test_precision
1,1,1,1,1,1,1,1,1
2,0.933333333333333,0.914285714285714,0.942857142857143,0.888888888888889,0.911111111111111,0.8,0.966666666666667,0.923076923076923
3,0.933333333333333,0.885714285714286,0.957142857142857,0.911764705882353,0.911111111111111,0.933333333333333,0.9,0.823529411764706
